,ASIN,product_name,item_model_nr,package_dimensions,product_dimensions,best_sellers_rank,ratings,rating_details,batteries,date_first_available,discontinued_by_mfg,seller,seller_link,freq_bought,link_to_all_reviews
0,1087888735,,,,,,,,,,,,,,/Chicken-Thoughts-Comics-About-Birds/product-reviews/1087888735/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,B000001OMI,"Maxell 190318 Lightweight Adjustable Open Air Portable Stereo Headphones with Dynamic Sound Reproduction, 32 Ohms,white blue black",190318,,4 x 4 x 3 ,#443 in On-Ear Headphones,4.1,"[{'info': '4.1 out of 5 stars', 'value': '440 ratings'}]",,"September 4, 1973",No, Maxell,/stores/Maxell/page/08DFAA22-C40B-465D-8814-B31233856416?ref_=ast_bln,,/Maxell-190318-Lightweight-Adjustable-Reporoduction/product-reviews/B000001OMI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
2,B00000JBHP,"Yamaha RH1C Portable Headphones, Black",RH1C,,30.4 x 8.8 x 3.5 ,#313 in On-Ear Headphones,4.4,"[{'info': '4.4 out of 5 stars', 'value': '568 ratings'}]",,"July 30, 2004",Yes, YAMAHA,/stores/Yamaha/page/E9480F50-C545-436C-90CB-6A9D7EC649A9?ref_=ast_bln,,
3,B00001P4XA,Koss 'The Plug' In-Ear Headphones (Black),156407,,6 x 4 x 1 ,"#1,171 in Earbud & In-Ear Headphones",4.2,"[{'info': '4.1 out of 5 stars', 'value': '1,534 ratings'}]",,"July 8, 2002",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,"[{'info': 'Koss PATHFINDRB Lightweight Earbud Stereophone with In-line Volume Control - (BLACK)', 'value': '/Koss-PATHFINDRB-Lightweight-Stereophone-Control/dp/B004W7HEMO/ref=pd_bxgy_2/147-0804139-6682707?_encoding=UTF8&pd_rd_i=B004W7HEMO&pd_rd_r=7989007b-118d-472d-a2b9-aa75894de88d&pd_rd_w=nWLof&pd_rd_wg=3Xx33&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=YYPRAQ2QH55BSC3M5WJR&psc=1&refRID=YYPRAQ2QH55BSC3M5WJR'}]",/Koss-Plug-Ear-Headphones-Black/product-reviews/B00001P4XA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,B00001P4ZH,"Koss Porta Pro On Ear Headphones with Case, Black / Silver",6303157,,6.81 x 2 x 8.94 ,#94 in On-Ear Headphones,4.7,"[{'info': '4.7 out of 5 stars', 'value': '5,289 ratings'}]",,"May 14, 2003",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,,/Koss-Porta-Headphones-Black-Silver/product-reviews/B00001P4ZH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5,B00001P4ZR,Koss R-10 On-Ear Headphones | Black | 8-foot cord | Lightweight,R/10,,,#999 in On-Ear Headphones,4.6,"[{'info': '4.6 out of 5 stars', 'value': '136 ratings'}]",,"October 15, 1999",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,"[{'info': ""Gildan Men's Fleece Crewneck Sweatshirt, Style G18000"", 'value': '/Gildan-Fleece-Crewneck-Sweatshirt-White/dp/B07M61L594/ref=pd_bxgy_2/138-9365860-1353830?_encoding=UTF8&pd_rd_i=B07M61L594&pd_rd_r=b4e16217-4af1-4cc0-815c-da57b6023e87&pd_rd_w=rLJra&pd_rd_wg=RG8kb&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XG4H39J83TD74PV1363C&psc=1&refRID=XG4H39J83TD74PV1363C'}]",
6,B00004SY4H,Sennheiser HD 600 Open Back Professional Headphone,4465,,0.39 x 0.39 x 0.39 ,#648 in Over-Ear Headphones,4.8,"[{'info': '4.8 out of 5 stars', 'value': '1,508 ratings'}]",,"May 16, 2000",No, Sennheiser Pro Audio,/stores/Sennheiser/page/8239F60B-DBA4-4E73-A05F-FD713E9DA0AD?ref_=ast_bln,,/Sennheiser-Open-Back-Professional-Headphone/product-reviews/B00004SY4H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7,B00004Z7G9,"Koss Pro-4AA Studio Quality Headphones, Standard Packaging,Black,Full-Size",PRO/4AA,,9.45 x 9.45 x 4.09 ,#839 in Over-Ear Headphones,4.4,"[{'info': '4.4 out of 5 stars', 'value': '571 ratings'}]",,"May 14, 2003",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,"[{'info': 'Monoprice 3.5mm Stereo Plug to 6.35mm (1/4 Inch) Stereo Jack Adaptor - Gold Plated', 'value': '/Monoprice-3-5mm-Stereo-6-35mm-Adaptor/dp/B003R70OA4/ref=pd_bxgy_2/142-4779188-8212054?_encoding=UTF8&pd_rd_i=B003R70OA4&pd_rd_r=f4e1c02d-a9df-4030-87c9-cc8e9dc9cf14&pd_rd_w=2Fcsk&pd_rd_wg=y67UD&pf_rd_p=bd257e40-8799-42ac-88d0-f76e0faf3886&pf_rd_r=TXM0V065ZW4ZRA4W1V2J&psc=1&refRID=TXM0V065ZW4ZRA4W1V2J'}]",/Koss-Pro-4AA-Studio-Quality-Headphones/product-reviews/B00004Z7G9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8,B000051SD1,"Koss QZ-99 Noise Reduction Stereophone, Standard Packaging",QZ99,,8.63 x 4.13 x 8.38 ,,,"[{'info': '4.3 out of 5 stars', 'value': '559 ratings'}]",,"September 4, 1973",Yes,AmazonGlobal - International Shopping,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XZ7JICGUQ1CX&isAmazonFulfilled=1,"[{'info': 'Race Day Electronics 3.5mm 2-Way Y Splitter for Headphones and Audio Devices', 'value': '/Race-Day-Electronics-Splitter-Headphones/dp/B005IH2PZI/ref=pd_bxgy_2/136-2653742-6579047?_encoding=UTF8&pd_rd_i=B005IH2PZI&pd_rd_r=4e0d6b8a-3fac-4b0a-a8f0-c38e58fe9601&pd_rd_w=AbIkh&pd_rd_wg=XjSs4&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=F4Q0T5DN298VV3RWWB26&psc=1&refRID=F4Q0T5DN298VV3RWWB26'}]",https://www.amazon.com/Koss-QZ-99-Noise-Reduction-Stereophone/product-reviews/B000051SD1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
9,B000051SD1,,,,,#750 in Over-Ear Headphones,4.3,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,https://www.amazon.com/Koss-QZ-99-Noise-Reduction-Stereophone/product-reviews/B000051SD1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
10,B00005QBU9,Sony MDR-V150 Monitor Series Headphones,MDRV150,,9.45 x 6.89 x 3.15 ,,,"[{'info': '4.3 out of 5 stars', 'value': '1,627 ratings'}]",1 Lithium ion batteries required.,"October 2, 2001",No,Click & Save 255,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1V6XDKYY7ILEZ&isAmazonFulfilled=1,"[{'info': 'A Pair Black Ear Cushion Replacement Ear Pads Ear Cups For Sony MDR-V150 V250 V300 V100 V200 V400 DR…', 'value': '/Cushion-Replacement-MDR-V150-DR-BT101-Headphones/dp/B01G3AUK0K/ref=pd_bxgy_2/142-1035271-5165646?_encoding=UTF8&pd_rd_i=B01G3AUK0K&pd_rd_r=fa86a2e3-6d93-4211-9a9b-63bc3d526933&pd_rd_w=ILKML&pd_rd_wg=eUtj5&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AK6JMWHD4NWS7010ZG04&psc=1&refRID=AK6JMWHD4NWS7010ZG04'}]",https://www.amazon.com/Sony-MDR-V150-Monitor-Series-Headphones/product-reviews/B00005QBU9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
11,B00005T3GH,,,,,"#1,016 in Headphone Adapters",4.6,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,
12,B000065BPB,SENNHEISER HD280PRO Headphones (old model),HD280PRO,,7 x 4 x 8 ,#808 in Over-Ear Headphones,4.5,"[{'info': '4.5 out of 5 stars', 'value': '2,796 ratings'}]",1 Lithium Polymer batteries required.,"October 2, 2001",No, Sennheiser,/stores/Sennheiser/page/8239F60B-DBA4-4E73-A05F-FD713E9DA0AD?ref_=ast_bln,,
13,B00006JPRN,,,,,"#520 in On-Ear Headphones #20,304 in Computer Accessories & Peripherals",3.9,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,https://www.amazon.com/Maxell-190319-Stereo-Headphone-Packaging/product-reviews/B00006JPRN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
14,B00006JPRP,,,,,#802 in Earbud & In-Ear Headphones,3.8,,,,,,,,/Maxell-190316-Stereo-Neck-Bands/product-reviews/B00006JPRP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
15,B00006L4ST,,,,,"#1,990 in Over-Ear Headphones",5.0,,,,,cosmonic,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AP4XNPLE1XK1&isAmazonFulfilled=1,,https://www.amazon.com/Panasonic-RPHT225-Monitor-Headphones-Black/product-reviews/B00006L4ST/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
16,B0000WS6QI,"Numark HF125 | Ultra-Portable Professional DJ Headphones With 6ft Cable, 40mm Drivers for Extended Response & Closed Back Design for Superior Isolation",HF125,,6 x 4 x 8 ,"#424 in Musical Instruments ( See Top 100 in Musical Instruments ) #34 in Electronic Music, DJ & Karaoke #67 in On-Ear Headphones #134 in Over-Ear Headphones",4.4,"[{'info': '4.4 out of 5 stars', 'value': '7,339 ratings'}]",,"July 16, 2004",No, Numark,/stores/Numark/page/F9D7D564-C6C3-4025-8F80-D267FF1BFEFA?ref_=ast_bln,"[{'info': 'Alesis Drums Nitro Mesh Kit - Eight Piece All Mesh Electronic Drum Kit With Super Solid Aluminum…', 'value': '/Alesis-Nitro-Electronic-Snare-Cymbals/dp/B07BW1XJGP/ref=pd_bxgy_2/131-0668829-5349167?_encoding=UTF8&pd_rd_i=B07BW1XJGP&pd_rd_r=b844a5e0-a357-4627-98aa-a95291744d6d&pd_rd_w=RzCMy&pd_rd_wg=5PMip&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=YQQ5XT2N7FA8M3XM7TT3&psc=1&refRID=YQQ5XT2N7FA8M3XM7TT3'}]",/Numark-HF125-Professional-Headphones-tangle-resistant/product-reviews/B0000WS6QI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
17,B0001FTVEK,Sennheiser RS120 II On-Ear Wireless RF Headphones with Charging Cradle,RS120,,12.25 x 8.75 x 5.5 ,#118 in On-Ear Headphones #250 in Over-Ear Headphones,4.2,"[{'info': '4.2 out of 5 stars', 'value': '21,490 ratings'}]",1 Lithium Polymer batteries required.,"December 19, 2005",No, Sennheiser Consumer Audio,/stores/Sennheiser/page/0550471D-123E-452F-AD0C-C6148FAF9E3A?ref_=ast_bln,"[{'info': 'Sennheiser HDR 120 Accessory RF Wireless Headphone for RS 120 System', 'value': '/Sennheiser-HDR120-Supplemental-Wireless-Headphone/dp/B000EBPJCO/ref=pd_bxgy_2/133-7917049-1144847?_encoding=UTF8&pd_rd_i=B000EBPJCO&pd_rd_r=2cecd152-674d-4ea2-b1f4-32b7ff4f5cd5&pd_rd_w=U99bj&pd_rd_wg=Ks0gr&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=CS7MSGHAVZJ1ZRB72JQ9&psc=1&refRID=CS7MSGHAVZJ1ZRB72JQ9'}]",/Sennheiser-RS120-Wireless-Headphones-Charging/product-reviews/B0001FTVEK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
18,B0002E51CQ,D'Addario 1/8 Inch Female Stereo to 1/4 Inch Male Stereo Adaptor,PW-P047E,,8.45 x 3.55 x 1 ,#831 in Headphone Adapters,4.6,"[{'info': '4.6 out of 5 stars', 'value': '273 ratings'}]",,"August 28, 2005",No, D'Addario Accessories,/stores/D%27Addario+Accessories/page/D902384F-11D7-468B-BE2D-86630B5E07BA?ref_=ast_bln,"[{'info': 'D’Addario PW-P047T ¼” Female to ¼” Female Stereo Adapter – Extend the Length of 1/4” Cables…', 'value': '/Planet-Waves-Female-Stereo-Coupler/dp/B0002E52S4/ref=pd_bxgy_2/136-9452370-3381043?_encoding=UTF8&pd_rd_i=B0002E52S4&pd_rd_r=60336d30-0941-4b5d-aea9-7fddb29cde52&pd_rd_w=rQYD5&pd_rd_wg=7aJXH&pf_rd_p=bd257e40-8799-42ac-88d0-f76e0faf3886&pf_rd_r=6N5AGC4DMH6436R32Y9G&psc=1&refRID=6N5AGC4DMH6436R32Y9G'}]",
19,B0002KQZJS,,,,,#222 in On-Ear Headphones,4.2,,,,,,,,/Parts-Express-Stereo-Lightweight-Headphones/product-reviews/B0002KQZJS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
20,B0002KR13M,3.5mm Stereo Headphone Extension 15 feet Straight,0844632015830,,6 x 3.2 x 2 ,,,"[{'info': '4.4 out of 5 stars', 'value': '650 ratings'}]",,"August 10, 2007",No,ONSEVEN,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A8BUSZYJHYSR8&isAmazonFulfilled=1,"[{'info': '2 RCA Male and 3.5mm Stereo Female, 6 Inch Gold Plated Connector, Y-Cable CNE63102', 'value': '/30S1-01260-Stereo-Female-Y-Cable-Connector/dp/B000I23TTE/ref=pd_bxgy_2/140-2895168-0624917?_encoding=UTF8&pd_rd_i=B000I23TTE&pd_rd_r=8752dddc-37b8-436c-8536-a3a04cf34168&pd_rd_w=2qbFr&pd_rd_wg=wt5VL&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=1VAN419M8WCRE851GF8F&psc=1&refRID=1VAN419M8WCRE851GF8F'}]",
21,B0002QLQ96,"Cyber Acoustics - AC-201 Stereo Headset with Separate Headphone and Microphone Jacks, Great for K12 School Classroom and Education (AC-201) Silver",AC-201,,7.25 x 2.25 x 8.5 ,#198 in Computer Headsets,4.0,"[{'info': '4.0 out of 5 stars', 'value': '1,893 ratings'}]",,"July 23, 2004",No, Cyber Acoustics,/stores/Cyber+Acoustics/page/DF80F835-21E5-47DE-8FE1-64E286F63EF9?ref_=ast_bln,,/Cyber-Acoustics-headphone-microphone-AC-201/product-reviews/B0002QLQ96/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
22,B0006TIA48,"Kensington Hi-Fi On-Ear Headphones with 9-Foot Cord (K33137),Black",K33137,,6.5 x 6.1 x 2.3 ,#277 in On-Ear Headphones,4.3,"[{'info': '4.3 out of 5 stars', 'value': '704 ratings'}]",,"July 7, 2004",No, Kensington,/stores/Kensington/page/42F7CAE1-61B1-47ED-B850-BBE1F5390D35?ref_=ast_bln,"[{'info': 'Syncwire Headphone Splitter, Nylon-Braided 3.5mm Extension Cable Audio Stereo Y Splitter (Hi-Fi…', 'value': '/Headphone-Splitter-Syncwire-Nylon-Braided-Stereo/dp/B07431YDWM/ref=pd_bxgy_2/140-2517518-5602931?_encoding=UTF8&pd_rd_i=B07431YDWM&pd_rd_r=54ac7646-0607-4a23-9be2-1fe0451b0caa&pd_rd_w=o6nUl&pd_rd_wg=xNFGE&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=TGYZPRFSGGN5GF2JWTHB&psc=1&refRID=TGYZPRFSGGN5GF2JWTHB'}]",/Kensington-Hi-Fi-Headphones-9-Foot-K33137/product-reviews/B0006TIA48/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
23,B000A88L9E,StarTech.com 6in Stereo Audio Y-Cable - 3.5mm Male to 2X RCA Female - Headphone Jack to RCA – Computer / MP3 to Stereo 1x Mini-Jack 2X RCA (MUMFRCA),MUMFRCA,,3.23 x 0.79 x 5.91 ,#36 in RCA Cables,4.6,"[{'info': '4.6 out of 5 stars', 'value': '7,135 ratings'}]",,"January 10, 2006",No, StarTech,/stores/StarTech/page/6C0E5AEF-F9E4-4E55-9983-4D6289F918C5?ref_=ast_bln,"[{'info': 'CERRXIAN LEMENG (2-Pack of) Gold Plated 3.5mm Stereo to 2-RCA Male to Female Adapter,Audio Splitter…', 'value': '/CERRXIAN-LEMENG-2-Pack-Adapter-Splitter/dp/B018V7GTNK/ref=pd_bxgy_2/135-8774095-2893242?_encoding=UTF8&pd_rd_i=B018V7GTNK&pd_rd_r=dc9abb62-7ec4-4dd5-a9c2-6aeacdfbac35&pd_rd_w=pJXqS&pd_rd_wg=eKaOI&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=DKQKN6NRZBVRG2JZ69TR&psc=1&refRID=DKQKN6NRZBVRG2JZ69TR'}]",/StarTech-com-6in-Stereo-Audio-Y-Cable/product-reviews/B000A88L9E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
24,B000EBPJCO,Sennheiser HDR 120 Accessory RF Wireless Headphone for RS 120 System,HDR120,,35.43 x 0.39 x 0.39 ,#355 in On-Ear Headphones,4.5,"[{'info': '4.5 out of 5 stars', 'value': '1,568 ratings'}]",2 AAA batteries required. (included),"September 14, 2004",No, Sennheiser Consumer Audio,/stores/Sennheiser/page/0550471D-123E-452F-AD0C-C6148FAF9E3A?ref_=ast_bln,"[{'info': 'Sennheiser RS120 II On-Ear Wireless RF Headphones with Charging Cradle', 'value': '/Sennheiser-RS120-Wireless-Headphones-Charging/dp/B0001FTVEK/ref=pd_bxgy_2/131-6084716-1965534?_encoding=UTF8&pd_rd_i=B0001FTVEK&pd_rd_r=4aa41055-2190-473a-8bee-26894a28c4a8&pd_rd_w=MFS3W&pd_rd_wg=wDWpB&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=SZMB0BS70DZN0PDV1PW4&psc=1&refRID=SZMB0BS70DZN0PDV1PW4'}]",/Sennheiser-HDR120-Supplemental-Wireless-Headphone/product-reviews/B000EBPJCO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
25,B000EIKYHC,Maxell 190316 NB-201 Stereo Neckbands Headphone - Connectivity: Wired,190316,,7 x 6.1 x 1.3 ,#445 in On-Ear Headphones,3.6,"[{'info': '3.6 out of 5 stars', 'value': '74 ratings'}]",,"November 3, 2006",No, Maxell,/stores/Maxell/page/08DFAA22-C40B-465D-8814-B31233856416?ref_=ast_bln,,
26,B000GH2QXQ,Panasonic clip headphone silver RP-HZ47-S,RP-HZ47-S,,5.5 x 2.2 x 1.4 ,,,"[{'info': '4.5 out of 5 stars', 'value': '647 ratings'}]",,"July 18, 2014",No,DREAM FIELD K,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AI62U825BKVWC&isAmazonFulfilled=1,"[{'info': 'Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black', 'value': '/Panasonic-Rp-hs46e-k-Slim-Clip-Earphone/dp/B002GAXWF2/ref=pd_bxgy_2/138-0149380-4327924?_encoding=UTF8&pd_rd_i=B002GAXWF2&pd_rd_r=78e59370-b8cd-454e-a8b9-93524e5825be&pd_rd_w=FIT5Y&pd_rd_wg=0o8RL&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=P0EZP63WARJDCTH9RP4W&psc=1&refRID=P0EZP63WARJDCTH9RP4W'}]",https://www.amazon.com/Panasonic-clip-headphone-silver-RP-HZ47-S/product-reviews/B000GH2QXQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
27,B000GH2QY0,Panasonic clip headphone white RP-HZ47-W,RP-HZ47-W,,4.9 x 2.2 x 1.2 ,,,"[{'info': '4.2 out of 5 stars', 'value': '366 ratings'}]",,"July 18, 2014",No,DREAM FIELD K,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AI62U825BKVWC&isAmazonFulfilled=1,"[{'info': 'Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black', 'value': '/Panasonic-Rp-hs46e-k-Slim-Clip-Earphone/dp/B002GAXWF2/ref=pd_bxgy_2/142-3944594-3445266?_encoding=UTF8&pd_rd_i=B002GAXWF2&pd_rd_r=e45860d1-3417-4c90-8c75-0c9940eda5a4&pd_rd_w=90AWJ&pd_rd_wg=iZn74&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=2BNH27TBD8M0SXEME388&psc=1&refRID=2BNH27TBD8M0SXEME388'}]",https://www.amazon.com/Panasonic-clip-headphone-white-RP-HZ47-W/product-reviews/B000GH2QY0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
28,B000GH2QYA,Panasonic clip headphone black RP-HZ47-K,RP-HZ47-K,5.47 x 2.2 x 1.26 inches,,,,"[{'info': '4.1 out of 5 stars', 'value': '697 ratings'}]",,"May 27, 2014",No,IZAM JAPAN,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2Z3T40WIYSB31&isAmazonFulfilled=1,"[{'info': 'Panasonic- Rp-hs46e-k Slim Clip On Earphone - Black', 'value': '/Panasonic-Rp-hs46e-k-Slim-Clip-Earphone/dp/B002GAXWF2/ref=pd_bxgy_2/132-8512176-1138023?_encoding=UTF8&pd_rd_i=B002GAXWF2&pd_rd_r=a6d823b3-23d0-4a98-aae4-8b79b3c335b7&pd_rd_w=5S1Xx&pd_rd_wg=J4BsM&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=62ZSGSQ3WXT17B9WCNQR&psc=1&refRID=62ZSGSQ3WXT17B9WCNQR'}]",https://www.amazon.com/Panasonic-clip-headphone-black-RP-HZ47-K/product-reviews/B000GH2QYA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
29,B000GH2QYK,Panasonic Clip Headphones Blue RP-HZ47-A (Japan Import),RP-HZ47-A,5.51 x 2.28 x 1.46 inches,,,,"[{'info': '4.3 out of 5 stars', 'value': '748 ratings'}]",,"October 14, 2013",No,DREAM FIELD K,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AI62U825BKVWC&isAmazonFulfilled=1,"[{'info': 'Panasonic Clip Headphone Red RP-HZ47-R (Japan Import)', 'value': '/Panasonic-Clip-Headphone-RP-HZ47-R-Japan/dp/B000GH2QYU/ref=pd_bxgy_2/132-8423116-8687541?_encoding=UTF8&pd_rd_i=B000GH2QYU&pd_rd_r=151cc016-0798-4916-aff5-200236a8766d&pd_rd_w=RxgCz&pd_rd_wg=nWxKh&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=34NSHG43W0SQSQ1W8Z3F&psc=1&refRID=34NSHG43W0SQSQ1W8Z3F'}]",https://www.amazon.com/Panasonic-Clip-Headphones-RP-HZ47-Japan/product-reviews/B000GH2QYK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
30,B000GH2QYU,Panasonic Clip Headphone Red RP-HZ47-R (Japan Import),RP-HZ47-R,,6.73 x 5.63 x 1.73 ,,,"[{'info': '4.3 out of 5 stars', 'value': '747 ratings'}]",,"October 14, 2013",No,DREAM FIELD K,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AI62U825BKVWC&isAmazonFulfilled=1,"[{'info': 'Panasonic Clip Headphones Blue RP-HZ47-A (Japan Import)', 'value': '/Panasonic-Clip-Headphones-RP-HZ47-Japan/dp/B000GH2QYK/ref=pd_bxgy_2/131-3917593-3424301?_encoding=UTF8&pd_rd_i=B000GH2QYK&pd_rd_r=ce0f3c3a-8d5c-4bf1-b276-75498edc327f&pd_rd_w=Azwax&pd_rd_wg=gyAuL&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=7JBGTZKE6KGWN49ARMJR&psc=1&refRID=7JBGTZKE6KGWN49ARMJR'}]",https://www.amazon.com/Panasonic-Clip-Headphone-RP-HZ47-R-Japan/product-reviews/B000GH2QYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
31,B000GX9NVI,Koss ED1TC Hb Stereophone Ideal for Schools Libraries & Trng Dept,156548,,3.94 x 3.94 x 3.94 ,"#1,180 in Over-Ear Headphones",3.9,"[{'info': '3.9 out of 5 stars', 'value': '118 ratings'}]",,"November 16, 2006",No, Koss,/stores/Koss/page/9E0B0736-5F99-4ABA-9317-94D80AA05DA8?ref_=ast_bln,"[{'info': 'Koss UR10i Lightweight Headphone, Black', 'value': '/Koss-UR10i-Lightweight-Headphone/dp/B00CK9BKX0/ref=pd_bxgy_2/139-8302630-2802524?_encoding=UTF8&pd_rd_i=B00CK9BKX0&pd_rd_r=d11630c8-8fcc-4064-b455-eec947a241b8&pd_rd_w=VKFCk&pd_rd_wg=gYva1&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=E13N5RMRVHM5WDPMHRFY&psc=1&refRID=E13N5RMRVHM5WDPMHRFY'}]",/Koss-ED1TC-Stereophone-Schools-Libraries/product-reviews/B000GX9NVI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
32,B000M5GS7M,"Califone 2810-PA Listening First Kids Stereo Headphones, Panda Design, PC and Apple Compatible",2810-PA,,6.75 x 5.75 x 2.5 ,,,"[{'info': '4.0 out of 5 stars', 'value': '447 ratings'}]",,"January 21, 2007",No,Sale s ✅,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AFAGM2K2OIRAD&isAmazonFulfilled=1,"[{'info': 'Califone 2810-BE Listening First TM Stereo Headphone for Kids, Bear Design, PC and Apple Compatible', 'value': '/Califone-2810-BE-Listening-Headphone-Compatible/dp/B000MUXVZE/ref=pd_bxgy_2/139-5863996-0677611?_encoding=UTF8&pd_rd_i=B000MUXVZE&pd_rd_r=cd76dbc3-49c0-4fb4-b58b-b9eef7c9f2c8&pd_rd_w=qFJzY&pd_rd_wg=cPSoi&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=NVHWTY6ST3M9F748X76F&psc=1&refRID=NVHWTY6ST3M9F748X76F'}]",
